lat,lon,altitud,tierra,anom_altitud,residuo,sospechoso,wrf_tx_medio,wrf_tx_p90,wrf_tx_max,wrf_n_ge32,wrf_n_ge35,wrf_n_ge38,wrf_hx_medio,wrf_hx_p90,wrf_n_hx35,anom_tx_medio,anom_tx_p90,anom_hx_p90,tx_p99_1km,tx_verano_1km,hx_p99_1km,nota
43.3692,-8.4467,48.6,1,10.3,-1.72,0,23.03,26.51,32.6,1,0,0,27.87,31.51,4,-1.79,-2.57,-2.26,23.96,18.97,30.45,-2.5064636763120607
43.2988,-8.8897,114.1,1,38.5,-0.55,0,22.15,25.27,31.99,0,0,0,26.92,30.48,4,-0.8,-0.91,-1.03,24.25,19.42,30.12,-2.5045591299673506
43.0582,-9.226,216.6,1,87.4,-0.26,0,22.44,26.2,32.55,1,0,0,27.06,31.28,3,-0.83,-0.57,-0.68,24.37,19.15,30.0,-2.5002113125760648
42.9866,-9.2108,155.7,1,28.1,-0.45,0,23.81,27.28,33.0,4,0,0,28.48,32.6,8,-0.64,-0.67,-0.72,24.49,19.5,29.88,-2.4958634951847802
41.7072,-8.8594,33.3,1,-67.5,-2.61,0,23.39,27.05,34.47,1,0,0,28.0,31.41,5,-2.18,-3.12,-2.61,24.33,19.61,30.15,-2.478003217741529
41.725,-8.8721,6.2,1,-151.7,-3.08,0,22.86,26.19,33.07,1,0,0,27.49,30.8,2,-2.11,-3.23,-2.48,24.22,19.68,30.28,-2.477687377508092
43.3076,-8.9023,57.0,1,-15.9,-0.78,0,22.12,25.12,31.0,0,0,0,27.01,30.44,3,-0.68,-0.87,-0.84,24.24,19.53,30.26,-2.476962741276211
43.0849,-9.2394,49.9,1,-49.0,-0.48,0,22.89,25.91,30.92,0,0,0,27.77,31.16,4,-0.17,-0.6,-0.52,24.34,19.81,30.16,-2.4733395601168064
41.896,-8.8658,28.0,1,-3.0,-2.39,0,23.85,28.13,34.5,4,0,0,28.18,32.2,7,-2.37,-2.85,-2.82,24.6,19.42,29.94,-2.4553166100847905
43.0389,-9.2868,18.4,1,-77.3,-0.89,0,22.61,25.67,30.68,0,0,0,27.72,31.25,3,-0.39,-0.6,-0.58,24.56,19.75,30.02,-2.4481632035309904
