lat,lon,d_tx30_pend_decada,d_tx30_salto_21_25,d_tx32_pend_decada,d_tx32_salto_21_25,tx_p99_pend_decada,tx_p99_salto_21_25,tx_verano_pend_decada,tx_verano_salto_21_25,noches_trop_pend_decada,noches_trop_salto_21_25,at_p99_pend_decada,at_p99_salto_21_25
43.7,-8.0,0.5714285714285752,0.7000000000000001,0.0,0.0,0.43827159064153154,0.6061410903930664,0.8469670159476059,0.5837036132812514,1.3214285714285636,0.7999999999999999,1.1136801430730174,1.2439485204776695
43.7,-7.9,0.49999999999999933,0.20000000000000007,0.14285714285714404,0.2,0.517346790858637,0.8331737518310547,0.8686407634190053,0.5906486511230469,1.071428571428559,0.8,1.3110090626224262,1.4158064651104496
43.7,-7.8,0.49999999999999933,0.20000000000000007,0.14285714285714404,0.2,0.4590548106601872,0.7870651245117166,0.8077798570905347,0.5454917907714858,0.5714285714285551,0.10000000000000009,0.9899408008926869,1.2043130468573153
43.7,-7.6,0.35714285714283267,0.5,0.25000000000000183,0.4,-0.15792458398002282,0.1277585983276346,0.6166538511003773,0.4069667816162088,0.42857142857144315,0.0,0.7085383631663329,0.7361671431795855
43.7,-7.5,0.46428571428569254,0.7,0.10714285714285784,0.2,-0.3039537838527109,0.022103118896485086,0.5517437798636342,0.3646514892578132,0.6071428571428571,0.10000000000000009,0.471486468894117,0.6141890665550207
43.7,-7.4,0.46428571428569254,0.7,0.10714285714285784,0.2,-0.43713985170636005,-0.08604221343994212,0.527551378522609,0.34902935028076243,0.6071428571428571,0.10000000000000009,0.4336564712829729,0.6252343435339682
43.6,-8.2,-0.03571428571428693,-0.1,0.0,0.0,0.5587907518658988,0.5327550888061516,0.794972283499572,0.5454046249389641,1.7142857142857122,1.6,1.2518596960785855,1.264704847581605
43.6,-8.1,0.2500000000000011,0.30000000000000004,0.0,0.0,0.6631116867064994,0.5925048828125021,0.9938801356724201,0.716734695434571,1.8928571428571277,2.0,1.7298161195673605,1.700478038869722
43.6,-8.0,0.6428571428571471,0.6000000000000001,0.0,0.0,0.8133913448878151,0.7665349960327141,1.1422334398541956,0.8318586349487305,1.3571428571428377,1.5,2.175504132439956,2.118282000230991
43.6,-7.9,0.7142857142857177,0.7,0.14285714285714404,0.2,0.7145741326467813,0.7241081237792955,1.0115095547267228,0.6893640518188491,0.678571428571419,0.8,1.7244254542231476,1.727542128919545
43.6,-7.8,0.9285714285714171,0.7,0.14285714285714404,0.2,0.6160180228096591,0.7472150802612312,0.9105740955897589,0.5986808776855455,0.3214285714285742,0.4,1.4021860490188718,1.4110863742077981
43.6,-7.7,0.9999999999999729,0.5,0.14285714285714404,0.2,0.45497342518394,0.6141187667846708,0.8253429276602476,0.5372154235839837,0.1785714285714302,0.2,1.2291341323139273,1.1534597816134067
43.6,-7.6,0.4999999999999613,0.3999999999999999,0.14285714285714404,0.2,0.16283178329465145,0.32089080810546733,0.7796720777239066,0.5079103469848647,0.1785714285714302,0.2,0.7120456987590857,0.6718868628048078
43.6,-7.5,0.42857142857138936,0.5,0.0,0.0,-0.19166823795865193,0.025789833068849077,0.6847808020455476,0.43602046966552876,-2.209541726135048e-15,-0.3,0.5911844110557429,0.5139797712683034
43.6,-7.4,0.46428571428569404,0.6,0.0,0.0,-0.426559107644218,-0.2125555038452127,0.5191403797694673,0.31107120513916087,0.17857142857142794,-0.09999999999999998,0.27395307565277244,0.24575987193391668
