estacion,n_anios,anio_ini,anio_fin,d_tx30_sen_dec,d_tx30_p,d_tx30_salto,d_tx32_sen_dec,d_tx32_p,d_tx32_salto,d_tx35_sen_dec,d_tx35_p,d_tx35_salto,tx_p99_sen_dec,tx_p99_p,tx_p99_salto,tx_verano_sen_dec,tx_verano_p,tx_verano_salto,noches_trop_sen_dec,noches_trop_p,noches_trop_salto,tmean_sen_dec,tmean_p,tmean_salto,d_helada_sen_dec,d_helada_p,d_helada_salto,hx_p99_sen_dec,hx_p99_p,hx_p99_salto,d_hx35_sen_dec,d_hx35_p,d_hx35_salto,id,concello,provincia,lat,lon,alt
10137,16,2010,2025,2.857,0.3626,2.5,2.25,0.0809,2.0,0.0,0.0288,0.38,1.728,0.0326,1.24,1.47,0.0788,0.51,0.0,0.0233,0.88,1.131,0.0017,0.7,-18.0,0.0028,-11.88,2.868,0.0005,1.96,8.231,0.0947,4.62,10137,NAVIA DE SUARNA,Lugo,42.955997,-6.915305,910.0
10138,16,2010,2025,0.0,0.1123,0.25,0.0,,0.0,0.0,,0.0,1.432,0.2281,0.83,1.496,0.096,0.67,0.0,0.2536,0.38,0.962,0.0086,0.6,-23.0,0.0215,-16.88,2.046,0.0114,1.4,0.0,,0.0,10138,A VEIGA,Ourense,42.207813,-6.89256,1762.0
10139,16,2010,2025,-2.404,0.3393,-2.5,-1.0,0.3301,-1.88,0.0,0.4196,-0.5,-0.831,0.3984,-0.84,0.143,0.7566,-0.17,0.0,,0.0,0.657,0.0086,0.36,-1.742,0.7517,-2.62,-0.621,0.6259,-0.81,-2.25,0.7169,-2.62,10139,ZAS,A Coruña,43.02887,-8.974911,317.0
10141,16,2010,2025,0.0,0.3422,0.5,0.0,0.3879,0.25,0.0,0.1123,0.25,0.696,0.6259,0.34,1.153,0.0255,0.69,0.0,0.5426,0.38,0.868,0.0,0.58,0.0,0.039,-0.5,3.462,0.0326,2.71,7.212,0.1027,5.88,10141,NARÓN,A Coruña,43.562504,-8.132825,278.0
10142,15,2011,2025,1.818,0.7649,-1.52,1.667,0.5498,-0.57,0.0,0.8351,-0.64,0.551,0.4951,-0.05,0.943,0.059,0.18,0.0,0.3838,-0.52,0.476,0.1395,0.27,0.0,0.6104,0.02,1.532,0.3282,0.1,-4.286,0.6203,-5.86,10142,VIGO,Pontevedra,42.225945,-8.713502,100.0
10144,16,2010,2025,4.226,0.2053,4.25,2.02,0.4126,2.25,0.774,0.2875,0.38,0.826,0.2281,0.75,1.518,0.0641,0.77,0.0,,0.0,0.859,0.0064,0.59,-3.611,0.5872,-0.5,3.376,0.0517,2.65,15.0,0.0132,13.25,10144,ARZÚA,A Coruña,42.931965,-8.17469,362.0
10146,16,2010,2025,2.361,0.4683,1.88,1.714,0.4973,0.0,0.0,0.743,-0.12,0.442,0.7566,0.16,0.696,0.096,0.23,0.0,,0.0,1.057,0.0024,0.71,-12.917,0.1477,-9.38,1.088,0.5643,0.74,5.0,0.2386,1.75,10146,CASTRO DE REI,Lugo,43.155926,-7.485878,428.0
10148,14,2012,2025,16.364,0.0322,6.71,15.714,0.0484,9.29,7.778,0.2968,4.86,0.633,0.5906,0.26,1.969,0.0472,0.84,0.0,0.6102,0.0,1.306,0.0008,0.76,-5.0,0.4414,-1.29,4.214,0.0472,1.16,24.167,0.0422,8.57,10148,OURENSE,Ourense,42.343487,-7.848846,143.0
10153,16,2010,2025,0.0,0.7463,-0.75,0.742,0.0936,1.0,0.0,0.2039,0.38,-0.285,0.7566,-0.02,1.169,0.0198,0.61,0.0,0.7798,0.12,1.119,0.0005,0.73,0.0,0.0364,-0.5,1.925,0.265,1.55,4.167,0.1215,3.12,10153,VIMIANZO,A Coruña,43.10812,-9.056941,405.0
10154,16,2010,2025,1.667,0.6844,6.0,1.08,0.6836,3.5,0.909,0.5542,1.38,0.837,0.4503,1.2,1.189,0.1653,1.04,0.0,0.6408,0.38,0.65,0.0086,0.53,0.0,0.3903,0.25,2.786,0.0326,3.2,9.545,0.19,14.12,10154,REDONDELA,Pontevedra,42.3207,-8.601872,260.0
10161,16,2010,2025,1.548,0.6177,1.25,0.0,0.6803,0.62,0.0,0.9035,0.0,0.46,0.6901,0.56,0.645,0.5056,0.05,0.0,0.7839,0.25,0.544,0.0517,0.26,0.0,0.207,-0.38,2.927,0.0152,2.33,10.0,0.0266,9.12,10161,VIGO,Pontevedra,42.169926,-8.686054,460.0
10162,16,2010,2025,0.0,0.3608,0.38,0.0,0.7508,-0.25,0.0,,0.0,-0.035,0.9647,-0.11,0.669,0.1653,0.23,0.0,0.0218,1.12,0.948,0.0011,0.66,-1.833,0.2753,-1.62,0.8,0.559,1.39,10.0,0.0247,8.88,10162,VIVEIRO,Lugo,43.630886,-7.630877,59.0
10201,13,2013,2025,3.167,0.0501,2.0,0.0,0.0155,1.0,0.0,,0.0,1.482,0.5098,0.63,1.125,0.3674,0.7,0.0,0.4075,0.38,0.547,0.2044,0.42,-11.625,0.2988,-12.17,2.755,0.0016,1.38,3.693,0.0074,3.17,10201,PEDRAFITA DO CEBREIRO,Lugo,42.7123,-7.125666,1330.0
10202,14,2012,2025,4.0,0.1515,2.86,3.0,0.0112,2.43,0.0,0.0841,0.43,2.107,0.1925,1.02,2.0,0.0356,0.89,0.0,0.1725,0.43,1.161,0.0008,0.73,-5.556,0.2489,-6.29,6.006,0.0012,3.61,15.0,0.0085,11.14,10202,CHANTADA,Lugo,42.669987,-7.887967,842.0
10204,13,2013,2025,3.095,0.1363,3.71,0.955,0.0241,2.02,0.0,,0.0,1.447,0.2044,1.29,1.753,0.2044,0.97,1.667,0.3167,3.64,0.757,0.3674,0.54,-10.909,0.1976,-13.0,,,,,,,10204,CARBALLEDA DE VALDEORRAS,Ourense,42.340588,-6.765224,1280.0
10500,16,2010,2025,-0.417,0.9281,-1.25,5.778,0.4436,3.38,1.984,0.8568,0.0,0.836,0.3057,0.27,0.888,0.265,0.07,0.0,,0.0,0.679,0.0152,0.51,-5.278,0.5571,-5.62,3.087,0.0359,1.37,10.0,0.0815,2.3,10500,VERÍN,Ourense,41.95301,-7.439182,392.0
10800,16,2010,2025,0.0,0.8084,0.0,0.0,0.7449,-0.12,0.0,,0.0,-0.541,0.2281,-0.11,0.281,0.116,0.28,0.0,0.857,-0.12,0.538,0.0326,0.27,0.0,,0.0,-0.128,0.8944,1.11,0.0,0.7109,1.38,10800,CAMARIÑAS,A Coruña,43.124447,-9.178318,5.0
14000,16,2010,2025,0.0,0.2328,0.5,0.0,0.8401,0.12,0.0,,0.0,-0.444,0.5056,-0.1,0.655,0.0517,0.45,0.0,0.2352,0.88,0.841,0.0017,0.68,0.0,0.2328,-0.12,-0.498,0.6901,-0.18,0.0,0.9266,0.12,14000,A CORUÑA,A Coruña,43.36506,-8.374706,5.0
14001,13,2013,2025,1.528,0.6198,1.52,0.0,0.8048,0.88,0.0,0.9394,0.21,1.189,0.5098,0.26,0.545,0.1635,0.27,0.714,0.6636,1.9,0.593,0.0573,0.44,0.0,,0.0,1.3,0.59,1.14,2.864,0.4579,1.24,14001,VIGO,Pontevedra,42.24167,-8.727587,7.0
14003,13,2013,2025,0.0,0.2541,0.52,0.0,0.4227,0.17,0.0,,0.0,0.706,0.2044,0.61,0.636,0.1,0.32,0.0,0.3767,0.55,0.736,0.015,0.66,0.0,,0.0,2.102,0.1526,1.65,1.667,0.0126,2.06,14003,ARTEIXO,A Coruña,43.34723,-8.531179,5.0
19001,16,2010,2025,0.0,0.7845,1.0,0.0,0.8911,0.25,0.0,1.0,-0.38,0.356,0.7566,0.6,0.735,0.0788,0.48,0.0,,0.0,0.929,0.0003,0.69,-5.0,0.3416,-5.12,2.068,0.3984,2.41,12.909,0.116,9.0,19001,CARBALLO,A Coruña,43.15616,-8.685357,134.0
19003,16,2010,2025,3.667,0.5257,3.12,1.27,0.6184,1.0,0.385,0.4611,0.12,0.334,0.8944,0.02,1.247,0.0255,0.67,0.0,0.1262,1.0,0.949,0.0017,0.64,-5.692,0.1607,-4.38,4.369,0.0198,2.94,18.667,0.0272,11.88,19003,VEDRA,A Coruña,42.78478,-8.434715,225.0
19004,16,2010,2025,1.667,0.216,1.12,1.25,0.115,0.75,0.0,0.2528,0.12,0.602,0.5643,0.41,1.284,0.0086,0.62,0.0,0.0193,0.5,1.156,0.0,0.82,-2.0,0.0648,-2.62,3.103,0.0641,2.25,10.0,0.0064,8.62,19004,NARÓN,A Coruña,43.554344,-8.203325,69.0
19005,16,2010,2025,0.0,0.8198,-0.38,1.292,0.273,0.75,0.0,0.6741,0.12,0.644,0.5056,0.54,0.928,0.0413,0.49,0.0,0.1331,0.38,0.857,0.0003,0.62,0.0,0.4033,-0.75,3.539,0.0795,3.11,6.667,0.247,7.04,19005,BERGONDO,A Coruña,43.307995,-8.276487,175.0
19008,16,2010,2025,2.25,0.3633,2.0,1.429,0.2946,0.75,0.0,0.4013,0.25,0.715,0.5643,0.46,1.496,0.0255,0.86,0.0,0.384,0.38,1.25,0.0,0.88,-4.0,0.0231,-6.12,1.776,0.2792,1.42,5.0,0.4427,5.42,19008,VAL DO DUBRA,A Coruña,43.00191,-8.6992,369.0
19010,15,2011,2025,5.0,0.2729,2.05,3.333,0.0891,1.91,0.0,0.5252,0.29,0.562,0.1686,0.52,1.819,0.0041,0.91,0.0,0.8266,-0.3,0.958,0.0059,0.64,0.0,0.3983,0.32,4.51,0.0008,2.56,25.0,0.0055,15.27,19010,LOUSAME,A Coruña,42.80141,-8.836885,157.0
19011,14,2010,2025,5.556,0.1869,3.0,3.333,0.2245,2.43,1.25,0.2416,0.43,1.484,0.2331,0.74,1.437,0.101,0.79,0.0,0.7098,0.29,0.525,0.0617,0.48,0.0,0.7822,2.29,3.87,0.116,2.4,26.75,0.0054,16.77,19011,ROIS,A Coruña,42.7965,-8.716,111.0
19014,15,2011,2025,0.0,0.9589,0.07,0.0,0.8787,0.16,0.0,0.8699,0.5,-0.075,0.8458,-0.26,0.892,0.1686,0.65,0.0,0.1432,2.46,0.805,0.0359,0.63,2.0,0.8041,0.43,0.869,0.6972,1.47,15.455,0.1016,13.86,19014,MONDOÑEDO,Lugo,43.45692,-7.340111,115.0
19015,15,2011,2025,0.833,0.5806,0.36,0.0,0.3242,0.23,0.0,0.1264,0.29,0.287,0.6265,-0.05,0.715,0.2816,0.2,0.0,0.8852,-0.11,0.737,0.0155,0.52,-4.444,0.1108,-3.8,1.307,0.559,-0.07,1.429,0.7278,0.54,19015,ABADÍN,Lugo,43.405445,-7.502042,662.0
19018,16,2010,2025,2.111,0.3156,1.25,1.429,0.0361,1.25,0.0,0.0791,0.12,1.274,0.265,0.4,0.849,0.3057,0.01,0.801,0.035,1.25,0.765,0.0255,0.28,-11.548,0.0148,-7.0,0.209,0.8248,-0.45,-1.742,0.8214,-2.5,19018,BALEIRA,Lugo,43.031902,-7.187797,990.0
19020,15,2011,2025,-2.5,0.3975,-0.38,-1.111,0.8035,0.04,1.667,0.6534,0.57,0.826,0.4951,0.66,0.966,0.2018,0.46,0.0,0.4875,-0.12,1.015,0.0208,0.62,-5.0,0.4879,-2.41,2.153,0.2395,1.76,10.0,0.1502,3.32,19020,SARRIA,Lugo,42.79668,-7.381559,416.0
19021,15,2011,2025,0.0,0.9604,1.36,2.5,0.6194,2.55,1.0,0.5475,1.55,0.342,0.8458,0.47,1.3,0.059,0.46,0.0,0.8651,-0.25,0.76,0.0114,0.53,-2.5,0.6526,-1.55,2.894,0.0114,1.89,16.667,0.037,4.82,19021,CHANTADA,Lugo,42.614433,-7.718322,391.0
19022,15,2011,2025,-15.0,0.0664,-12.07,-12.5,0.2317,-10.3,-7.0,0.3189,-5.07,-0.9,0.559,-0.73,-0.232,0.8458,-0.54,0.0,0.3897,-0.5,0.13,0.7705,0.05,1.667,0.6892,0.91,-0.53,1.0,-1.48,-17.0,0.1925,-15.57,19022,PANTÓN,Lugo,42.53537,-7.70489,340.0
19023,15,2011,2025,6.0,0.2328,2.79,6.0,0.4568,0.61,4.0,0.5853,2.98,1.378,0.2816,0.4,1.236,0.1395,0.45,0.0,0.1084,0.77,0.748,0.0208,0.55,1.667,0.9226,1.61,2.892,0.1686,0.94,10.0,0.1489,0.16,19023,RIBAS DE SIL,Lugo,42.463108,-7.287173,257.0
19024,15,2011,2025,1.25,0.7278,-0.16,1.667,0.6534,0.3,1.25,0.5127,0.39,1.715,0.2018,0.64,0.736,0.4351,0.17,0.0,0.1939,0.16,0.705,0.0359,0.43,-4.0,0.3975,-2.7,4.132,0.101,0.83,7.778,0.2968,-1.57,19024,ANTAS DE ULLA,Lugo,42.72039,-7.831607,647.0
19025,15,2011,2025,-2.0,0.2084,-1.12,0.0,0.8769,0.09,0.0,0.9554,0.5,-1.016,0.1395,-0.7,-0.22,0.8458,-0.04,0.0,0.5251,0.21,0.653,0.0463,0.49,3.333,0.5521,1.07,-0.7,0.5183,-0.38,-5.0,0.1469,-3.43,19025,LOURENZÁ,Lugo,43.43727,-7.279275,103.0
19026,16,2010,2025,5.5,0.4168,-2.12,1.27,0.6838,-2.0,3.333,0.4982,-0.25,0.36,0.6259,-0.18,0.967,0.3057,-0.04,0.0,0.3378,0.25,0.873,0.0046,0.62,-10.885,0.1912,-7.38,1.04,0.6672,-0.22,10.0,0.2968,-1.21,19026,LEIRO,Ourense,42.359207,-8.118451,105.0
19027,16,2010,2025,4.722,0.6259,-2.88,1.603,0.8217,-3.12,0.0,0.9637,0.0,0.513,0.8248,-0.14,0.919,0.3057,-0.39,0.0,,0.0,0.399,0.0413,0.11,1.714,0.8568,1.88,1.575,0.2018,0.46,-1.111,0.8817,-6.8,19027,XINZO DE LIMIA,Ourense,42.101776,-7.717683,616.0
19030,15,2011,2025,10.0,0.1804,5.77,12.857,0.2149,6.82,3.846,0.3443,3.59,1.526,0.2816,0.44,1.803,0.0463,0.77,0.0,0.6672,0.59,0.725,0.0463,0.51,-5.0,0.7662,-0.98,5.541,0.0008,3.1,23.75,0.003,14.82,19030,LAROUCO,Ourense,42.346,-7.153,522.0
19031,15,2011,2025,7.143,0.3459,4.09,8.0,0.3205,3.25,0.0,0.6144,2.46,0.704,0.559,0.48,1.431,0.059,0.64,0.0,0.0262,0.62,0.665,0.0155,0.48,-3.0,0.6901,-2.11,5.122,0.0138,2.71,21.429,0.006,12.29,19031,COLES,Ourense,42.42953,-7.836478,403.0
19032,14,2011,2025,5.455,0.2709,3.29,8.571,0.3222,5.57,5.714,0.4753,3.14,0.743,0.5906,0.06,0.916,0.101,0.55,0.0,0.2839,0.14,0.887,0.0356,0.56,0.0,0.7822,0.0,2.838,0.1289,0.76,10.714,0.0864,2.57,19032,CASTRELO DE MIÑO,Ourense,42.31235,-8.066759,122.0
19033,15,2011,2025,6.0,0.4279,5.11,5.0,0.2975,3.93,1.111,0.5155,2.88,1.193,0.2816,0.69,1.343,0.059,0.63,0.0,0.7756,-0.05,0.851,0.0083,0.66,1.111,0.8425,1.02,5.252,0.0138,3.42,30.0,0.0021,19.43,19033,CASTRO CALDELAS,Ourense,42.38756,-7.431971,469.0
19037,16,2010,2025,4.808,0.069,4.25,1.667,0.049,2.12,0.0,0.0965,0.38,1.645,0.0641,0.87,1.641,0.0788,0.59,0.0,0.329,0.38,1.21,0.0017,0.7,-20.0,0.01,-17.0,2.525,0.0041,1.51,10.0,0.053,5.91,19037,A VEIGA,Ourense,42.211124,-6.991786,1217.0
19038,15,2011,2025,12.0,0.1502,3.93,12.857,0.1016,7.7,4.444,0.4256,2.95,1.416,0.0743,0.5,1.67,0.059,0.8,0.0,0.0756,0.43,0.856,0.0083,0.54,-3.333,0.7705,-0.68,3.222,0.0067,1.86,10.0,0.2048,4.14,19038,LAZA,Ourense,42.067226,-7.472491,575.0
19039,16,2010,2025,5.0,0.497,-0.5,6.833,0.2576,0.88,3.798,0.0221,2.5,1.254,0.0788,0.45,1.121,0.1653,0.01,1.818,0.0065,3.38,1.04,0.0011,0.59,-23.818,0.0016,-21.75,1.092,0.1949,-0.02,5.0,0.4427,-1.38,19039,RIÓS,Ourense,41.98036,-7.285618,839.0
19040,16,2010,2025,14.365,0.1362,8.0,10.556,0.124,5.0,3.333,0.0015,3.62,1.794,0.0326,1.14,1.592,0.0255,0.71,2.5,0.0349,2.5,0.995,0.0017,0.61,-12.788,0.0374,-8.25,4.463,0.0,3.2,25.0,0.0005,17.88,19040,VILARDEVÓS,Ourense,41.898197,-7.188015,778.0
19041,16,2010,2025,4.167,0.4168,0.38,3.333,0.1013,3.25,0.0,0.1327,1.0,1.079,0.265,0.22,1.201,0.1653,0.18,0.742,0.0075,1.5,0.891,0.0326,0.33,-12.792,0.1027,-9.38,0.658,0.5183,0.21,10.0,0.1528,2.08,19041,A MEZQUITA,Ourense,42.01746,-7.048907,1025.0
19042,16,2010,2025,5.0,0.1721,3.25,2.75,0.2547,1.12,0.0,0.0761,1.5,1.375,0.139,0.69,1.249,0.139,0.5,0.0,,0.0,0.941,0.0046,0.61,-14.143,0.1452,-12.75,3.298,0.0413,2.34,12.5,0.0144,13.12,19042,CALVOS DE RANDÍN,Ourense,41.961655,-7.895386,890.0
19044,15,2011,2025,1.818,0.6901,-8.96,3.571,0.584,-3.32,6.667,0.4868,-1.91,0.587,0.4951,-0.29,1.053,0.1395,0.1,0.0,0.0304,0.43,0.605,0.0359,0.33,-4.0,0.5853,-1.14,0.407,0.7472,-1.62,10.0,0.5093,-10.14,19044,A ARNOIA,Ourense,42.23986,-8.130865,120.0
19045,16,2010,2025,11.548,0.0581,8.88,6.111,0.2227,5.38,5.0,0.0706,3.88,1.523,0.0788,1.24,1.686,0.0198,0.96,0.0,0.6923,-0.25,0.785,0.0086,0.57,-6.905,0.2408,-4.5,5.241,0.0155,3.88,28.571,0.0114,14.64,19045,PONTEAREAS,Pontevedra,42.180405,-8.524929,41.0
19046,15,2011,2025,1.111,0.7278,-0.8,2.0,0.1765,0.45,0.0,0.4993,0.07,0.702,0.2395,0.31,1.129,0.0463,0.26,0.0,0.9546,-0.05,0.576,0.0208,0.35,0.0,0.7131,-0.11,3.843,0.0208,1.48,8.889,0.0475,3.8,19046,VILANOVA DE AROUSA,Pontevedra,42.539917,-8.784433,72.0
19047,16,2010,2025,5.917,0.2053,4.62,3.333,0.3209,2.62,2.071,0.1199,1.88,1.372,0.116,1.51,1.052,0.0517,0.42,0.0,0.8871,0.25,0.686,0.0152,0.31,-2.475,0.0822,-2.5,4.537,0.0198,4.03,14.921,0.038,7.75,19047,O ROSAL,Pontevedra,41.938732,-8.789739,47.0
19048,16,2010,2025,0.385,0.8564,-0.75,4.722,0.3669,2.62,4.006,0.497,-0.12,0.905,0.3057,0.36,0.824,0.3502,-0.01,0.0,0.0217,2.38,0.688,0.0064,0.47,-5.0,0.1068,-4.0,1.379,0.6672,0.29,1.0,1.0,-7.88,19048,ARBO,Pontevedra,42.134094,-8.263586,187.0
19050,16,2010,2025,8.167,0.1624,6.0,4.722,0.1469,2.75,3.333,0.0387,2.0,1.093,0.139,0.61,1.323,0.0198,0.74,0.0,0.1603,0.5,1.209,0.0011,0.8,-10.0,0.1891,-6.62,3.854,0.0617,1.91,28.0,0.0051,12.75,19050,VILA DE CRUCES,Pontevedra,42.77911,-8.318691,211.0
19054,16,2010,2025,5.857,0.2227,3.12,3.333,0.3909,1.5,4.083,0.2553,1.5,1.575,0.116,1.0,1.316,0.139,0.38,1.667,0.1946,1.88,0.916,0.0046,0.59,-6.795,0.0416,-6.5,3.44,0.0743,1.93,14.545,0.1128,5.18,19054,SALCEDA DE CASELAS,Pontevedra,42.069332,-8.562408,92.0
19056,15,2011,2025,5.714,0.3459,0.77,2.857,0.3431,1.02,1.111,0.2423,0.25,1.283,0.2395,0.59,1.543,0.0059,0.69,0.0,0.2092,0.36,1.129,0.0059,0.7,-1.667,0.0531,-1.29,7.023,0.0012,4.44,37.0,0.0004,23.43,19056,MEIS,Pontevedra,42.53713,-8.716114,52.0
19057,15,2011,2025,16.0,0.0921,8.82,10.0,0.2757,6.79,5.714,0.2539,4.36,1.522,0.1686,0.98,2.491,0.0359,1.34,0.833,0.1255,0.73,1.124,0.0019,0.72,-1.667,0.3697,-1.34,6.699,0.0001,3.99,34.286,0.0012,18.86,19057,SALVATERRA DE MIÑO,Pontevedra,42.11854,-8.442646,150.0
19066,14,2012,2025,2.5,0.4395,-0.14,1.25,0.6996,0.57,0.0,0.3314,0.14,0.489,0.5183,0.23,1.047,0.0617,0.23,0.0,0.834,-0.29,0.696,0.0193,0.45,-1.667,0.5793,-5.0,2.049,0.1526,1.71,8.875,0.0499,7.33,19066,RIBADUMIA,Pontevedra,42.497288,-8.763514,27.0
19068,13,2013,2025,0.0,1.0,-2.62,-2.25,0.759,-0.38,0.0,1.0,-1.02,-0.765,0.59,-0.52,0.072,0.9524,-0.02,0.0,0.6234,0.19,0.288,0.1635,0.34,0.0,0.6881,0.69,1.471,0.765,-0.01,-3.875,0.8065,-3.02,19068,MEAÑO,Pontevedra,42.436275,-8.774661,97.0
19069,13,2013,2025,2.083,0.8545,0.36,1.27,0.6211,0.48,0.0,0.6607,0.29,0.22,0.6754,-0.01,0.796,0.1289,0.4,0.0,0.3608,0.17,0.738,0.0573,0.59,0.0,0.094,0.67,2.581,0.2044,1.43,6.061,0.3853,3.74,19069,O GROVE,Pontevedra,42.45738,-8.876006,9.0
19070,13,2013,2025,2.361,0.759,0.67,2.111,0.4602,0.52,0.0,0.6993,-0.14,0.821,0.59,0.3,0.704,0.3062,0.42,0.0,0.3639,-0.24,0.395,0.1289,0.28,1.27,0.6211,2.45,2.662,0.1289,1.46,8.571,0.2207,4.98,19070,MEIS,Pontevedra,42.468124,-8.742008,256.0
19071,13,2013,2025,5.278,0.5822,3.4,1.27,0.6211,0.64,1.339,0.309,0.9,0.939,0.6754,0.5,1.042,0.3062,0.68,0.0,0.4227,0.17,0.761,0.1635,0.67,6.333,0.3592,-0.07,1.563,0.3062,0.93,7.75,0.3272,3.31,19071,ORDES,A Coruña,43.06872,-8.412142,266.0
19072,13,2013,2025,9.286,0.4354,4.86,4.5,0.2437,3.33,0.714,0.532,0.79,1.647,0.59,1.04,1.435,0.1,1.07,0.0,0.8026,-0.57,0.646,0.2519,0.56,0.0,0.8048,1.07,5.522,0.015,3.59,23.333,0.0324,16.9,19072,PONTE CALDELAS,Pontevedra,42.39316,-8.506196,350.0
19073,12,2014,2025,0.5,0.9452,0.83,8.0,0.4908,6.17,11.214,0.4467,8.0,1.708,0.1969,1.16,1.762,0.3108,0.92,0.0,0.4758,1.33,0.682,0.1526,0.61,6.111,0.7311,0.33,3.99,0.0863,1.75,5.5,0.4908,1.83,19073,VILAMARTÍN DE VALDEORRAS,Ourense,42.420258,-7.02708,408.0
50500,16,2010,2025,2.5,0.3626,2.5,0.0,0.6451,1.0,0.0,0.4619,0.25,0.029,0.9647,-0.13,0.861,0.0788,0.53,0.0,0.1603,0.5,0.816,0.0046,0.57,-1.833,0.3406,-3.38,3.828,0.0326,2.37,11.548,0.0187,9.62,50500,SANTIAGO DE COMPOSTELA,A Coruña,42.88659,-8.521138,305.0
