lat,lon,tx_verano_clim,tx_verano_tend,tx_p99_clim,tx_p99_tend
42.729,-8.245,24.03,0.24,31.64,0.405
42.73,-8.177,23.88,0.242,31.54,0.398
42.731,-8.109,23.76,0.236,31.44,0.384
42.733,-8.041,23.63,0.236,31.32,0.367
42.734,-7.973,23.33,0.226,30.99,0.34
42.735,-7.905,23.17,0.22,30.76,0.327
42.736,-7.837,23.56,0.222,31.1,0.328
42.737,-7.769,24.34,0.234,31.82,0.33
42.738,-7.701,24.73,0.235,32.19,0.33
42.739,-7.633,24.58,0.233,32.06,0.303
42.74,-7.565,24.03,0.218,31.45,0.283
42.741,-7.497,24.22,0.215,31.61,0.279
42.742,-7.429,24.69,0.213,32.06,0.271
42.742,-7.361,24.57,0.211,31.93,0.268
42.743,-7.293,23.69,0.205,30.84,0.281
42.744,-7.225,22.66,0.182,29.52,0.327
42.744,-7.157,22.17,0.167,28.91,0.327
42.745,-7.089,22.63,0.184,29.36,0.321
42.746,-7.021,23.15,0.19,29.85,0.315
42.746,-6.952,22.82,0.167,29.45,0.317
42.747,-6.884,22.37,0.136,28.96,0.32
42.747,-6.816,23.45,0.158,29.99,0.328
42.748,-6.748,24.89,0.197,31.44,0.323
42.748,-6.68,25.68,0.211,32.38,0.299
42.748,-6.612,25.64,0.209,32.34,0.282
42.749,-6.544,25.1,0.207,31.64,0.306
42.764,-8.927,23.73,0.193,30.64,0.375
42.766,-8.859,23.52,0.198,30.77,0.411
42.768,-8.791,23.31,0.203,30.68,0.416
42.769,-8.723,24.02,0.203,31.1,0.402
42.771,-8.655,24.95,0.206,31.61,0.389
42.772,-8.587,25.38,0.212,31.95,0.393
42.774,-8.519,25.37,0.216,32.05,0.419
42.775,-8.451,25.33,0.221,32.02,0.425
42.776,-8.383,25.42,0.228,32.14,0.425
42.778,-8.315,25.18,0.235,32.16,0.439
42.779,-8.246,24.6,0.242,31.98,0.403
42.78,-8.178,24.12,0.238,31.7,0.41
42.782,-8.11,24.01,0.24,31.61,0.388
42.783,-8.042,24.06,0.234,31.68,0.378
42.784,-7.974,23.77,0.226,31.42,0.351
42.785,-7.906,23.6,0.223,31.23,0.331
42.786,-7.838,23.44,0.217,30.99,0.316
42.787,-7.77,23.87,0.218,31.41,0.303
42.788,-7.702,24.45,0.227,31.93,0.31
42.789,-7.634,24.82,0.229,32.23,0.301
42.79,-7.566,24.65,0.223,32.06,0.29
42.791,-7.498,24.59,0.216,32.01,0.271
42.791,-7.43,25.07,0.219,32.44,0.278
42.792,-7.362,25.04,0.213,32.41,0.259
42.793,-7.294,23.95,0.195,31.24,0.265
42.794,-7.226,23.18,0.193,30.23,0.276
42.794,-7.157,23.29,0.196,30.23,0.28
42.795,-7.089,23.82,0.201,30.8,0.256
42.796,-7.021,23.63,0.189,30.46,0.275
42.796,-6.953,22.6,0.143,29.24,0.303
42.797,-6.885,21.16,0.078,27.77,0.272
42.797,-6.817,21.16,0.068,27.76,0.274
42.798,-6.749,22.71,0.12,29.25,0.311
42.798,-6.681,24.35,0.173,30.87,0.306
42.798,-6.613,25.3,0.196,31.88,0.29
42.799,-6.545,24.74,0.187,31.25,0.298
42.811,-9.065,23.37,0.176,30.12,0.366
42.813,-8.997,23.7,0.189,30.4,0.37
42.814,-8.929,23.5,0.197,30.21,0.373
42.816,-8.861,23.5,0.193,30.64,0.385
42.818,-8.793,23.06,0.198,30.53,0.405
42.819,-8.725,23.81,0.195,31.01,0.391
42.821,-8.657,24.85,0.203,31.48,0.396
42.822,-8.589,25.08,0.211,31.61,0.397
42.824,-8.521,24.79,0.209,31.59,0.409
42.825,-8.452,24.71,0.218,31.65,0.419
42.826,-8.384,25.14,0.222,31.94,0.426
42.828,-8.316,25.3,0.225,32.18,0.42
42.829,-8.248,24.78,0.234,31.93,0.411
42.83,-8.18,24.57,0.24,31.9,0.402
42.831,-8.112,23.76,0.24,31.14,0.4
42.833,-8.044,24.56,0.243,31.98,0.383
42.834,-7.976,24.28,0.238,31.79,0.357
42.835,-7.908,23.98,0.222,31.56,0.331
42.836,-7.84,23.4,0.211,30.96,0.312
42.837,-7.771,23.55,0.205,31.12,0.294
42.838,-7.703,24.23,0.219,31.73,0.284
42.839,-7.635,24.95,0.229,32.27,0.296
42.84,-7.567,25.21,0.221,32.47,0.287
42.841,-7.499,25.33,0.217,32.58,0.275
42.842,-7.431,25.61,0.205,32.87,0.273
42.842,-7.363,25.16,0.201,32.51,0.255
42.843,-7.295,24.27,0.189,31.64,0.231
42.844,-7.226,23.62,0.187,30.85,0.248
42.844,-7.158,24.09,0.184,31.31,0.233
42.845,-7.09,24.72,0.185,31.95,0.215
42.846,-7.022,24.28,0.188,31.36,0.235
42.846,-6.954,22.85,0.162,29.56,0.281
42.847,-6.886,20.97,0.069,27.6,0.255
42.847,-6.818,20.02,-0.001,26.66,0.202
42.848,-6.75,20.66,0.037,27.28,0.246
42.848,-6.681,22.17,0.105,28.73,0.287
42.848,-6.613,23.24,0.142,29.77,0.291
42.849,-6.545,23.39,0.147,29.91,0.289
42.861,-9.068,22.58,0.179,29.87,0.4
42.863,-8.999,22.6,0.18,29.96,0.401
42.864,-8.931,23.11,0.18,30.29,0.401
42.866,-8.863,23.17,0.185,30.4,0.405
42.867,-8.795,22.79,0.19,30.13,0.394
42.869,-8.727,23.69,0.195,30.74,0.393
42.871,-8.659,24.5,0.198,31.22,0.391
42.872,-8.591,24.41,0.203,31.22,0.397
42.874,-8.523,24.07,0.213,31.2,0.398
42.875,-8.454,23.97,0.216,31.23,0.391
42.876,-8.386,24.25,0.223,31.43,0.396
42.878,-8.318,24.46,0.227,31.6,0.403
42.879,-8.25,24.48,0.234,31.66,0.388
42.88,-8.182,24.16,0.235,31.37,0.393
42.881,-8.114,24.45,0.232,31.67,0.389
42.883,-8.045,24.36,0.234,31.66,0.384
42.884,-7.977,24.13,0.235,31.61,0.351
42.885,-7.909,23.55,0.216,31.11,0.319
42.886,-7.841,23.22,0.199,30.8,0.305
42.887,-7.773,23.46,0.197,31.04,0.293
42.888,-7.705,23.94,0.204,31.46,0.284
42.889,-7.636,24.42,0.214,31.81,0.28
42.89,-7.568,25.06,0.217,32.3,0.273
42.891,-7.5,25.58,0.204,32.69,0.27
42.892,-7.432,25.79,0.199,32.94,0.259
42.892,-7.364,24.99,0.192,32.35,0.244
42.893,-7.296,24.23,0.183,31.65,0.215
42.894,-7.227,23.77,0.177,31.07,0.224
42.894,-7.159,24.26,0.177,31.58,0.195
42.895,-7.091,25.1,0.183,32.44,0.182
42.896,-7.023,24.86,0.183,32.12,0.181
42.896,-6.955,23.59,0.176,30.5,0.225
42.897,-6.887,22.06,0.118,28.72,0.279
42.897,-6.818,20.82,0.066,27.47,0.257
42.898,-6.75,20.6,0.062,27.23,0.256
42.898,-6.682,21.03,0.073,27.63,0.255
42.898,-6.614,21.2,0.065,27.81,0.249
42.899,-6.546,21.02,0.053,27.66,0.239
42.906,-9.274,21.22,0.149,27.29,0.285
42.911,-9.07,21.83,0.181,29.37,0.388
42.913,-9.002,21.74,0.176,29.41,0.383
42.914,-8.934,22.14,0.179,29.73,0.381
42.916,-8.865,22.62,0.181,30.06,0.376
42.917,-8.797,23.11,0.182,30.36,0.384
42.919,-8.729,23.27,0.194,30.31,0.392
42.921,-8.661,23.82,0.193,30.79,0.381
42.922,-8.593,23.75,0.198,30.86,0.375
42.923,-8.524,23.62,0.207,30.86,0.383
42.925,-8.456,23.64,0.211,30.91,0.386
42.926,-8.388,23.75,0.217,31.03,0.382
42.928,-8.32,23.77,0.222,31.06,0.38
42.929,-8.252,23.83,0.23,31.14,0.384
42.93,-8.183,23.98,0.231,31.29,0.386
42.931,-8.115,23.88,0.232,31.27,0.376
42.933,-8.047,23.48,0.225,31.0,0.343
42.934,-7.979,23.16,0.208,30.8,0.312
42.935,-7.911,22.87,0.2,30.52,0.305
42.936,-7.842,22.9,0.193,30.54,0.285
42.937,-7.774,23.29,0.192,30.87,0.28
42.938,-7.706,23.45,0.191,30.97,0.27
42.939,-7.638,23.7,0.198,31.18,0.261
42.94,-7.57,24.39,0.199,31.74,0.25
42.941,-7.501,25.14,0.199,32.32,0.248
42.941,-7.433,25.28,0.192,32.46,0.246
42.942,-7.365,24.82,0.184,32.23,0.224
42.943,-7.297,23.83,0.174,31.23,0.188
42.944,-7.228,23.48,0.166,30.78,0.2
42.944,-7.16,23.73,0.167,31.02,0.182
42.945,-7.092,24.57,0.173,31.91,0.174
42.946,-7.024,25.0,0.172,32.32,0.175
42.946,-6.955,24.37,0.167,31.58,0.174
42.947,-6.887,23.37,0.162,30.24,0.217
42.947,-6.819,22.44,0.133,29.12,0.264
42.948,-6.751,21.93,0.119,28.55,0.275
42.948,-6.682,21.73,0.101,28.33,0.268
42.948,-6.614,21.06,0.065,27.67,0.25
42.949,-6.546,20.21,0.002,26.87,0.199
42.955,-9.277,21.77,0.147,27.8,0.29
42.957,-9.209,22.54,0.156,29.02,0.317
42.959,-9.14,22.05,0.172,29.19,0.378
42.961,-9.072,21.57,0.178,29.11,0.391
42.962,-9.004,21.47,0.174,29.08,0.399
42.964,-8.936,21.78,0.179,29.35,0.389
42.966,-8.868,22.13,0.177,29.62,0.393
42.968,-8.799,22.64,0.179,30.05,0.377
42.969,-8.731,22.96,0.186,30.25,0.369
42.971,-8.663,23.12,0.193,30.38,0.37
42.972,-8.595,23.25,0.199,30.47,0.372
42.974,-8.526,23.46,0.203,30.6,0.375
42.975,-8.458,23.77,0.209,30.83,0.37
42.976,-8.39,23.81,0.21,30.92,0.381
42.978,-8.322,23.63,0.217,30.85,0.38
42.979,-8.253,23.54,0.218,30.86,0.384
42.98,-8.185,23.58,0.22,31.0,0.364
42.981,-8.117,23.29,0.214,30.86,0.342
42.983,-8.049,22.63,0.199,30.32,0.312
42.984,-7.98,22.16,0.184,29.84,0.301
42.985,-7.912,22.2,0.184,29.87,0.285
42.986,-7.844,22.69,0.185,30.35,0.276
42.987,-7.776,23.12,0.189,30.73,0.272
42.988,-7.707,23.37,0.186,30.91,0.251
42.989,-7.639,23.57,0.192,31.04,0.25
42.99,-7.571,24.09,0.188,31.49,0.236
42.991,-7.502,24.46,0.186,31.78,0.238
42.992,-7.434,24.52,0.18,31.87,0.228
42.992,-7.366,24.19,0.172,31.66,0.2
42.993,-7.298,23.37,0.162,30.77,0.178
42.994,-7.229,23.01,0.152,30.32,0.183
42.994,-7.161,23.27,0.156,30.56,0.173
42.995,-7.093,23.89,0.155,31.25,0.165
42.996,-7.024,24.63,0.163,31.98,0.167
42.996,-6.956,24.84,0.159,32.15,0.167
42.997,-6.888,24.26,0.154,31.46,0.152
42.997,-6.82,23.43,0.151,30.34,0.194
42.998,-6.751,22.53,0.133,29.22,0.242
42.998,-6.683,22.23,0.116,28.87,0.25
42.998,-6.615,21.97,0.104,28.57,0.256
42.999,-6.546,20.89,0.071,27.53,0.243
43.007,-9.211,22.2,0.16,28.74,0.322
43.009,-9.143,21.85,0.165,28.96,0.375
43.011,-9.075,21.53,0.177,28.97,0.404
43.013,-9.006,21.73,0.178,29.2,0.393
43.014,-8.938,21.73,0.177,29.21,0.405
43.016,-8.87,21.82,0.179,29.34,0.394
43.017,-8.802,21.8,0.18,29.38,0.388
43.019,-8.733,21.97,0.183,29.57,0.378
43.02,-8.665,22.23,0.178,29.72,0.377
43.022,-8.597,22.65,0.191,29.99,0.374
43.023,-8.528,23.29,0.199,30.43,0.36
43.025,-8.46,23.71,0.202,30.66,0.364
43.026,-8.392,23.78,0.205,30.74,0.37
43.028,-8.323,23.52,0.209,30.64,0.379
43.029,-8.255,23.42,0.211,30.73,0.363
43.03,-8.187,23.23,0.209,30.67,0.356
43.031,-8.119,22.77,0.202,30.35,0.327
43.033,-8.05,22.3,0.189,30.01,0.296
43.034,-7.982,21.83,0.173,29.53,0.288
43.035,-7.914,21.97,0.175,29.63,0.273
43.036,-7.845,22.47,0.181,30.1,0.273
43.037,-7.777,22.97,0.185,30.53,0.256
43.038,-7.709,23.39,0.186,30.88,0.248
43.039,-7.64,23.67,0.189,31.05,0.239
43.04,-7.572,23.95,0.182,31.28,0.235
43.041,-7.504,23.87,0.176,31.25,0.224
43.041,-7.435,23.61,0.167,31.11,0.199
43.042,-7.367,23.23,0.156,30.75,0.171
43.043,-7.299,22.82,0.146,30.24,0.161
43.044,-7.23,22.69,0.143,30.04,0.166
43.044,-7.162,23.01,0.145,30.35,0.16
43.045,-7.094,23.44,0.143,30.79,0.152
43.046,-7.025,23.93,0.143,31.29,0.149
43.046,-6.957,24.51,0.149,31.85,0.15
43.047,-6.889,24.34,0.141,31.63,0.137
43.047,-6.82,23.27,0.14,30.26,0.168
43.048,-6.752,22.17,0.124,28.9,0.233
43.048,-6.684,22.07,0.124,28.76,0.228
43.048,-6.615,22.56,0.13,29.26,0.223
43.049,-6.547,22.26,0.123,28.89,0.232
43.057,-9.214,21.79,0.157,28.08,0.314
43.059,-9.145,21.8,0.159,28.58,0.38
43.061,-9.077,21.61,0.167,28.8,0.388
43.062,-9.009,21.55,0.172,28.87,0.408
43.064,-8.94,21.6,0.175,29.0,0.41
43.066,-8.872,21.48,0.178,29.01,0.401
43.067,-8.804,21.39,0.178,29.04,0.377
43.069,-8.735,21.4,0.176,29.07,0.368
43.071,-8.667,21.75,0.176,29.34,0.378
43.072,-8.599,22.17,0.177,29.65,0.375
43.074,-8.53,22.78,0.19,30.05,0.361
43.075,-8.462,23.15,0.196,30.21,0.357
43.076,-8.394,23.25,0.2,30.3,0.358
43.078,-8.325,23.22,0.203,30.42,0.361
43.079,-8.257,23.01,0.205,30.39,0.356
43.08,-8.189,22.84,0.204,30.34,0.345
43.081,-8.12,22.55,0.197,30.16,0.312
43.083,-8.052,22.31,0.183,30.0,0.295
43.084,-7.983,22.04,0.176,29.75,0.277
43.085,-7.915,22.24,0.176,29.91,0.272
43.086,-7.847,22.52,0.18,30.11,0.255
43.087,-7.778,22.87,0.178,30.38,0.245
43.088,-7.71,23.28,0.178,30.72,0.238
43.089,-7.642,23.67,0.181,30.94,0.234
43.09,-7.573,23.89,0.176,31.09,0.222
43.091,-7.505,23.68,0.165,31.05,0.207
43.092,-7.436,23.14,0.16,30.66,0.171
43.092,-7.368,22.61,0.147,30.15,0.144
43.093,-7.3,22.46,0.142,29.96,0.146
43.094,-7.231,22.62,0.137,30.08,0.14
43.094,-7.163,22.7,0.133,30.11,0.142
43.095,-7.094,22.93,0.13,30.29,0.143
43.096,-7.026,23.2,0.131,30.54,0.135
43.096,-6.958,23.66,0.13,31.01,0.138
43.097,-6.889,23.66,0.126,30.98,0.134
43.097,-6.821,22.69,0.129,29.74,0.154
43.098,-6.752,21.92,0.118,28.69,0.224
43.098,-6.684,22.07,0.123,28.85,0.213
43.098,-6.616,22.74,0.119,29.69,0.173
43.099,-6.547,22.87,0.123,29.75,0.173
43.107,-9.216,20.96,0.15,26.87,0.284
43.109,-9.148,21.67,0.162,27.97,0.354
43.111,-9.079,21.68,0.161,28.43,0.374
43.112,-9.011,21.58,0.165,28.61,0.39
43.114,-8.943,21.59,0.171,28.8,0.406
43.116,-8.874,21.52,0.173,28.89,0.398
43.117,-8.806,21.49,0.173,28.94,0.378
43.119,-8.738,21.64,0.175,29.08,0.367
43.12,-8.669,21.81,0.172,29.26,0.365
43.122,-8.601,21.82,0.178,29.3,0.358
43.123,-8.532,22.09,0.184,29.48,0.365
43.125,-8.464,22.56,0.189,29.84,0.356
43.126,-8.396,22.78,0.194,29.98,0.357
43.128,-8.327,22.93,0.198,30.11,0.348
43.129,-8.259,22.91,0.201,30.19,0.346
43.13,-8.19,22.64,0.2,30.11,0.336
43.131,-8.122,22.29,0.19,29.9,0.31
43.133,-8.053,22.19,0.18,29.85,0.288
43.134,-7.985,22.29,0.179,29.91,0.278
43.135,-7.917,22.56,0.179,30.13,0.263
43.136,-7.848,22.76,0.174,30.28,0.253
43.137,-7.78,22.95,0.17,30.43,0.236
43.138,-7.711,23.08,0.162,30.47,0.232
43.139,-7.643,23.48,0.171,30.71,0.217
43.14,-7.574,23.6,0.17,30.73,0.215
43.141,-7.506,23.51,0.163,30.7,0.206
43.141,-7.438,23.24,0.156,30.67,0.164
43.142,-7.369,22.55,0.138,30.07,0.148
43.143,-7.301,22.51,0.13,30.05,0.144
43.144,-7.232,22.65,0.128,30.17,0.135
43.144,-7.164,22.61,0.119,30.09,0.122
43.145,-7.095,22.46,0.123,29.85,0.139
43.146,-7.027,22.47,0.12,29.81,0.132
43.146,-6.958,22.83,0.117,30.2,0.123
43.147,-6.89,23.07,0.116,30.44,0.132
43.147,-6.822,22.63,0.116,29.83,0.132
43.148,-6.753,21.89,0.109,28.8,0.186
43.148,-6.685,21.98,0.109,28.88,0.172
43.148,-6.616,22.79,0.11,29.91,0.142
43.149,-6.548,23.0,0.105,30.14,0.137
43.159,-9.15,21.63,0.154,27.48,0.304
43.161,-9.082,21.76,0.162,27.9,0.356
43.162,-9.013,21.69,0.161,28.13,0.384
43.164,-8.945,21.84,0.169,28.53,0.391
43.166,-8.877,21.78,0.173,28.65,0.389
43.167,-8.808,21.92,0.173,28.8,0.393
43.169,-8.74,22.26,0.182,29.02,0.388
43.17,-8.671,22.21,0.18,29.13,0.385
43.172,-8.603,21.91,0.178,29.18,0.341
43.173,-8.534,21.59,0.181,29.01,0.362
43.175,-8.466,21.91,0.181,29.29,0.358
43.176,-8.397,22.59,0.193,29.68,0.346
43.178,-8.329,23.2,0.199,29.94,0.353
43.179,-8.26,23.49,0.201,30.15,0.349
43.18,-8.192,23.11,0.199,30.16,0.338
43.181,-8.124,22.58,0.188,30.01,0.313
43.182,-8.055,22.25,0.179,29.85,0.28
43.184,-7.987,22.28,0.173,29.88,0.273
43.185,-7.918,22.43,0.168,29.98,0.255
43.186,-7.85,22.62,0.169,30.12,0.241
43.187,-7.781,22.81,0.16,30.27,0.223
43.188,-7.713,22.95,0.157,30.3,0.22
43.189,-7.644,23.23,0.16,30.46,0.207
43.19,-7.576,23.4,0.164,30.52,0.198
43.191,-7.507,23.4,0.156,30.48,0.193
43.191,-7.439,23.14,0.146,30.37,0.168
43.192,-7.37,22.72,0.136,30.14,0.153
43.193,-7.302,22.49,0.128,29.99,0.132
43.194,-7.233,22.49,0.123,30.0,0.124
43.194,-7.165,22.48,0.114,30.0,0.124
43.195,-7.096,22.26,0.105,29.7,0.114
43.196,-7.028,22.34,0.107,29.73,0.108
43.196,-6.959,22.87,0.105,30.29,0.123
43.197,-6.891,23.12,0.108,30.51,0.118
43.197,-6.822,22.66,0.104,30.0,0.122
43.198,-6.754,21.77,0.095,28.81,0.154
43.198,-6.685,21.6,0.093,28.57,0.158
43.198,-6.617,22.44,0.093,29.63,0.127
43.199,-6.548,22.95,0.094,30.18,0.115
43.212,-9.016,21.14,0.164,26.93,0.326
43.214,-8.947,21.94,0.168,27.95,0.359
43.216,-8.879,22.02,0.169,28.21,0.372
43.217,-8.81,22.27,0.176,28.46,0.379
43.219,-8.742,22.38,0.182,28.49,0.383
43.221,-8.673,22.41,0.185,28.67,0.382
43.222,-8.605,21.98,0.18,28.78,0.372
43.223,-8.536,21.63,0.18,28.86,0.343
43.225,-8.468,22.02,0.184,29.15,0.341
43.226,-8.399,22.9,0.191,29.47,0.347
43.227,-8.331,23.92,0.204,29.79,0.353
43.229,-8.262,24.42,0.205,30.1,0.327
43.23,-8.194,24.1,0.206,30.24,0.332
43.231,-8.125,23.24,0.193,30.11,0.318
43.233,-8.057,22.44,0.174,29.87,0.287
43.234,-7.988,21.87,0.157,29.52,0.258
43.235,-7.92,21.84,0.153,29.48,0.233
43.236,-7.851,22.17,0.159,29.75,0.219
43.237,-7.782,22.63,0.153,30.07,0.209
43.238,-7.714,22.71,0.151,30.03,0.193
43.239,-7.645,22.9,0.155,30.13,0.185
43.24,-7.577,23.03,0.156,30.13,0.188
43.241,-7.508,22.96,0.152,30.04,0.174
43.241,-7.44,22.69,0.139,29.9,0.154
43.242,-7.371,22.42,0.128,29.82,0.131
43.243,-7.303,22.24,0.126,29.66,0.131
43.244,-7.234,22.25,0.123,29.7,0.125
43.244,-7.166,22.16,0.106,29.7,0.115
43.245,-7.097,21.9,0.096,29.39,0.103
43.246,-7.028,21.95,0.096,29.37,0.104
43.246,-6.96,22.68,0.1,30.12,0.109
43.247,-6.891,23.28,0.095,30.61,0.117
43.247,-6.823,22.86,0.097,30.25,0.105
43.248,-6.754,21.78,0.08,28.92,0.132
43.248,-6.686,21.09,0.081,28.05,0.157
43.248,-6.617,21.74,0.083,28.9,0.131
43.249,-6.549,22.76,0.074,30.03,0.111
43.266,-8.881,21.87,0.169,27.54,0.344
43.267,-8.812,21.92,0.175,27.68,0.351
43.269,-8.744,21.89,0.18,27.62,0.352
43.27,-8.675,22.05,0.186,27.82,0.36
43.272,-8.607,21.94,0.192,28.03,0.362
43.273,-8.538,21.85,0.188,28.24,0.359
43.275,-8.47,22.36,0.188,28.68,0.357
43.276,-8.401,23.27,0.198,29.05,0.333
43.278,-8.333,24.29,0.205,29.47,0.317
43.279,-8.264,24.75,0.21,29.79,0.302
43.28,-8.195,24.62,0.21,30.06,0.298
43.281,-8.127,23.59,0.197,29.89,0.303
43.282,-8.058,22.63,0.175,29.83,0.276
43.284,-7.99,21.68,0.153,29.33,0.246
43.285,-7.921,21.43,0.142,29.14,0.217
43.286,-7.852,21.79,0.146,29.4,0.202
43.287,-7.784,22.33,0.153,29.78,0.197
43.288,-7.715,22.52,0.15,29.82,0.181
43.289,-7.647,22.61,0.152,29.83,0.174
43.29,-7.578,22.51,0.148,29.69,0.171
43.291,-7.51,22.2,0.136,29.47,0.144
43.291,-7.441,21.79,0.123,29.26,0.116
43.292,-7.372,21.62,0.117,29.12,0.106
43.293,-7.304,21.93,0.12,29.28,0.121
43.294,-7.235,22.41,0.124,29.51,0.136
43.294,-7.166,22.17,0.109,29.54,0.127
43.295,-7.098,21.42,0.09,28.98,0.091
43.296,-7.029,21.09,0.076,28.5,0.101
43.296,-6.961,21.65,0.081,29.08,0.091
43.297,-6.892,22.61,0.084,30.0,0.099
43.297,-6.823,22.53,0.082,29.92,0.092
43.298,-6.755,21.51,0.078,28.81,0.112
43.298,-6.686,20.75,0.07,27.78,0.134
43.298,-6.618,21.18,0.069,28.36,0.121
43.299,-6.549,22.27,0.063,29.58,0.101
43.316,-8.883,21.14,0.169,26.5,0.322
43.317,-8.815,21.23,0.172,26.61,0.343
43.322,-8.609,20.76,0.19,26.05,0.344
43.323,-8.54,21.52,0.195,26.85,0.337
43.325,-8.472,22.77,0.199,28.08,0.325
43.326,-8.403,23.27,0.198,28.4,0.319
43.328,-8.334,23.9,0.201,28.79,0.307
43.329,-8.266,24.22,0.206,29.03,0.291
43.33,-8.197,24.04,0.204,29.24,0.274
43.331,-8.128,23.52,0.191,29.65,0.285
43.333,-8.06,22.52,0.174,29.57,0.285
43.334,-7.991,21.75,0.155,29.3,0.241
43.335,-7.923,21.45,0.14,29.11,0.204
43.336,-7.854,21.72,0.141,29.31,0.194
43.337,-7.785,22.06,0.143,29.54,0.188
43.338,-7.717,22.1,0.14,29.5,0.17
43.339,-7.648,21.95,0.134,29.34,0.154
43.34,-7.579,21.56,0.123,29.02,0.141
43.341,-7.511,21.04,0.114,28.59,0.121
43.341,-7.442,20.74,0.101,28.36,0.101
43.342,-7.373,20.78,0.099,28.36,0.103
43.343,-7.305,21.48,0.115,28.82,0.117
43.344,-7.236,22.54,0.123,29.34,0.148
43.344,-7.167,22.54,0.117,29.36,0.126
43.345,-7.099,21.48,0.09,28.98,0.108
43.346,-7.03,20.59,0.065,28.08,0.078
43.346,-6.961,20.46,0.06,27.85,0.092
43.347,-6.893,21.44,0.071,28.92,0.082
43.347,-6.824,21.92,0.077,29.28,0.09
43.348,-6.755,21.48,0.067,28.92,0.083
43.348,-6.687,20.99,0.058,28.31,0.091
43.348,-6.618,21.19,0.058,28.53,0.093
43.349,-6.549,21.87,0.055,29.2,0.091
43.376,-8.405,21.18,0.2,26.05,0.3
43.377,-8.336,22.17,0.199,26.91,0.301
43.379,-8.268,22.32,0.202,27.0,0.285
43.38,-8.199,23.18,0.205,28.25,0.271
43.381,-8.13,23.17,0.192,29.25,0.276
43.383,-8.061,22.26,0.168,29.32,0.267
43.384,-7.993,21.49,0.146,28.96,0.25
43.385,-7.924,20.96,0.143,28.5,0.218
43.386,-7.855,21.71,0.14,29.16,0.197
43.387,-7.787,21.75,0.135,29.24,0.176
43.388,-7.718,21.44,0.121,29.03,0.148
43.389,-7.649,20.85,0.099,28.51,0.11
43.39,-7.581,20.17,0.092,27.84,0.105
43.391,-7.512,19.96,0.092,27.62,0.099
43.391,-7.443,20.14,0.092,27.78,0.099
43.392,-7.374,20.65,0.104,28.15,0.105
43.393,-7.306,21.43,0.11,28.62,0.103
43.394,-7.237,22.12,0.119,28.83,0.128
43.394,-7.168,22.41,0.124,28.73,0.159
43.395,-7.1,21.97,0.107,28.76,0.122
43.396,-7.031,21.0,0.073,28.51,0.082
43.396,-6.962,20.45,0.063,28.04,0.065
43.397,-6.893,20.64,0.055,28.2,0.072
43.397,-6.825,21.43,0.065,28.82,0.082
43.398,-6.756,21.59,0.062,28.92,0.082
43.398,-6.687,21.3,0.053,28.74,0.08
43.398,-6.619,21.08,0.046,28.49,0.082
43.399,-6.55,21.46,0.044,28.79,0.079
43.431,-8.132,22.95,0.185,28.82,0.267
43.432,-8.063,22.09,0.162,29.0,0.254
43.434,-7.994,21.51,0.145,28.89,0.232
43.435,-7.926,21.61,0.14,29.01,0.215
43.436,-7.857,21.6,0.133,28.99,0.188
43.437,-7.788,21.24,0.121,28.76,0.158
43.438,-7.719,20.46,0.101,28.14,0.119
43.439,-7.651,19.61,0.073,27.29,0.113
43.44,-7.582,19.2,0.068,26.84,0.116
43.441,-7.513,19.51,0.085,27.19,0.099
43.441,-7.444,20.4,0.104,27.84,0.102
43.442,-7.376,21.36,0.124,28.16,0.122
43.443,-7.307,21.78,0.123,28.32,0.144
43.444,-7.238,21.75,0.113,28.35,0.133
43.444,-7.169,22.03,0.123,28.22,0.159
43.445,-7.1,22.36,0.133,28.08,0.157
43.446,-7.032,22.16,0.11,28.38,0.138
43.446,-6.963,21.19,0.079,28.4,0.093
43.447,-6.894,20.7,0.061,28.14,0.069
43.447,-6.825,20.94,0.067,28.18,0.098
43.448,-6.757,21.42,0.068,28.38,0.102
43.448,-6.688,21.35,0.056,28.53,0.081
43.448,-6.619,20.9,0.042,28.22,0.083
43.449,-6.55,21.19,0.046,28.35,0.088
43.48,-8.202,22.41,0.196,27.22,0.248
43.481,-8.133,23.03,0.188,28.51,0.27
43.482,-8.065,22.37,0.168,28.75,0.248
43.484,-7.996,21.71,0.149,28.71,0.226
43.485,-7.927,21.43,0.138,28.7,0.212
43.486,-7.858,21.1,0.122,28.5,0.173
43.487,-7.789,20.62,0.112,28.15,0.146
43.488,-7.721,20.13,0.097,27.79,0.117
43.489,-7.652,19.55,0.074,27.25,0.096
43.49,-7.583,19.25,0.069,26.94,0.092
43.491,-7.514,19.82,0.09,27.4,0.087
43.491,-7.445,21.09,0.123,27.84,0.115
43.492,-7.377,22.52,0.151,28.11,0.131
43.493,-7.308,22.35,0.149,27.84,0.132
43.494,-7.239,21.64,0.133,27.59,0.142
43.494,-7.17,21.64,0.131,27.49,0.148
43.495,-7.101,22.21,0.141,27.29,0.179
43.496,-7.032,22.46,0.144,27.27,0.188
43.496,-6.964,21.85,0.12,27.45,0.168
43.497,-6.895,21.16,0.09,27.56,0.126
43.497,-6.826,21.1,0.085,27.49,0.13
43.498,-6.757,21.45,0.092,27.51,0.174
43.498,-6.688,21.41,0.076,27.74,0.144
43.498,-6.62,20.92,0.061,27.63,0.121
