id,concello,provincia,lat,lon,alt
10157,A CORUÑA,A Coruña,43.382763,-8.409202,21.0
14000,A CORUÑA,A Coruña,43.36506,-8.374706,5.0
10045,ABEGONDO,A Coruña,43.241367,-8.262225,94.0
14003,ARTEIXO,A Coruña,43.34723,-8.531179,5.0
10144,ARZÚA,A Coruña,42.931965,-8.17469,362.0
19005,BERGONDO,A Coruña,43.307995,-8.276487,175.0
10095,BOQUEIXÓN,A Coruña,42.822826,-8.461246,231.0
10800,CAMARIÑAS,A Coruña,43.124447,-9.178318,5.0
19001,CARBALLO,A Coruña,43.15616,-8.685357,134.0
10147,CARIÑO,A Coruña,43.7383,-7.88011,20.0
10135,CARNOTA,A Coruña,42.795036,-9.126011,170.0
10092,CEDEIRA,A Coruña,43.70426,-8.052468,254.0
10176,CEE,A Coruña,42.94625,-9.184586,2.0
10096,CORISTANCO,A Coruña,43.095192,-8.69099,540.0
10050,FERROL,A Coruña,43.491467,-8.252274,37.0
10052,LOUSAME,A Coruña,42.745583,-8.776306,661.0
19010,LOUSAME,A Coruña,42.80141,-8.836885,157.0
10093,MALPICA DE BERGANTIÑOS,A Coruña,43.336,-8.836423,161.0
10089,MELIDE,A Coruña,42.907383,-7.982653,477.0
10094,MESÍA,A Coruña,43.12481,-8.279388,401.0
10046,MONFERO,A Coruña,43.343082,-7.8944,651.0
10141,NARÓN,A Coruña,43.562504,-8.132825,278.0
19004,NARÓN,A Coruña,43.554344,-8.203325,69.0
19071,ORDES,A Coruña,43.06872,-8.412142,266.0
10097,ORTIGUEIRA,A Coruña,43.59178,-7.788782,576.0
10178,RIANXO,A Coruña,42.6864,-8.824,155.0
10049,RIBEIRA,A Coruña,42.555164,-9.028601,30.0
10134,RIBEIRA,A Coruña,42.47135,-9.005851,21.0
19011,ROIS,A Coruña,42.7965,-8.716,111.0
10087,SANTA COMBA,A Coruña,42.968616,-8.868301,369.0
10124,SANTIAGO DE COMPOSTELA,A Coruña,42.87596,-8.559434,255.0
50500,SANTIAGO DE COMPOSTELA,A Coruña,42.88659,-8.521138,305.0
19008,VAL DO DUBRA,A Coruña,43.00191,-8.6992,369.0
19003,VEDRA,A Coruña,42.78478,-8.434715,225.0
10153,VIMIANZO,A Coruña,43.10812,-9.056941,405.0
10139,ZAS,A Coruña,43.02887,-8.974911,317.0
10136,A FONSAGRADA,Lugo,43.17712,-7.047859,789.0
10106,A PONTENOVA,Lugo,43.339153,-7.168036,490.0
10088,ABADÍN,Lugo,43.454594,-7.446248,595.0
19015,ABADÍN,Lugo,43.405445,-7.502042,662.0
19024,ANTAS DE ULLA,Lugo,42.72039,-7.831607,647.0
19018,BALEIRA,Lugo,43.031902,-7.187797,990.0
10099,BÓVEDA,Lugo,42.64761,-7.476274,432.0
10118,BURELA,Lugo,43.644855,-7.374807,421.0
10146,CASTRO DE REI,Lugo,43.155926,-7.485878,428.0
10062,CERVANTES,Lugo,42.820778,-6.922902,1364.0
10202,CHANTADA,Lugo,42.669987,-7.887967,842.0
19021,CHANTADA,Lugo,42.614433,-7.718322,391.0
10168,COSPEITO,Lugo,43.24025,-7.555116,408.0
10102,FOLGOSO DO COUREL,Lugo,42.59468,-7.192392,777.0
10103,FOZ,Lugo,43.558243,-7.278138,73.0
10101,FRIOL,Lugo,43.0374,-7.892649,731.0
10107,GUITIRIZ,Lugo,43.14569,-7.791122,496.0
19025,LOURENZÁ,Lugo,43.43727,-7.279275,103.0
10053,LUGO,Lugo,42.992695,-7.546897,400.0
19014,MONDOÑEDO,Lugo,43.45692,-7.340111,115.0
10056,MONFORTE DE LEMOS,Lugo,42.473194,-7.501777,645.0
10171,MONFORTE DE LEMOS,Lugo,42.513783,-7.523145,286.0
10173,MURAS,Lugo,43.46013,-7.592832,1031.0
10137,NAVIA DE SUARNA,Lugo,42.955997,-6.915305,910.0
10167,O VALADOURO,Lugo,43.54419,-7.45192,71.0
19022,PANTÓN,Lugo,42.53537,-7.70489,340.0
10132,PEDRAFITA DO CEBREIRO,Lugo,42.707104,-7.047078,1310.0
10201,PEDRAFITA DO CEBREIRO,Lugo,42.7123,-7.125666,1330.0
10105,POL,Lugo,43.162598,-7.282577,647.0
10108,PORTOMARÍN,Lugo,42.813114,-7.620155,447.0
10170,PORTOMARÍN,Lugo,42.816715,-7.750347,780.0
10100,QUIROGA,Lugo,42.492397,-7.275823,697.0
10047,RIBADEO,Lugo,43.540714,-7.083024,51.0
19023,RIBAS DE SIL,Lugo,42.463108,-7.287173,257.0
10164,RIOTORTO,Lugo,43.35174,-7.265628,270.0
10098,SAMOS,Lugo,42.747143,-7.24874,826.0
19020,SARRIA,Lugo,42.79668,-7.381559,416.0
19074,SOBER,Lugo,42.411137,-7.634422,319.0
10055,VILALBA,Lugo,43.226593,-7.783072,684.0
10174,VILALBA,Lugo,43.327644,-7.716561,480.0
10104,VIVEIRO,Lugo,43.660763,-7.562965,545.0
10162,VIVEIRO,Lugo,43.630886,-7.630877,59.0
19044,A ARNOIA,Ourense,42.23986,-8.130865,120.0
19041,A MEZQUITA,Ourense,42.01746,-7.048907,1025.0
10115,A VEIGA,Ourense,42.355392,-7.008639,1229.0
