ranking,lat,lon,provincia,dist_costa_km,indice_calor,score_calor,score_confort,n_anios,n_dias,d_tx28,d_tx30,d_tx32,d_tx35,d_tx38,tx_p99,tx_p999,tx_max,tx_verano,noches_trop,noches_18,tn_p99,olas_n,olas_dias,olas_largas_n,at_p99,at_max,d_at27,d_at30,d_at32,d_at35,at_verano,hx_p99,hx_max,d_hx30,d_hx35,d_hx40,wb_p99,wb_max,d_wb24,d_wb26,d_wb28,viento_medio,viento_verano,viento_dias_calidos,hi_p99,d_hi32,hr_verano,noches_bochorno,tmean,amplitud,d_helada,tn_p01,rango_anual
1,43.3,-8.9,A Coruña,1.9,13.7,15.396341463414636,11.067073170731707,15,5390,0.06666666666666667,0.0,0.0,0.0,0.0,25.112215042114258,27.729778289794922,28.528961181640625,20.207321166992188,0.3333333333333333,10.266666666666667,18.471424102783203,1.5333333333333334,5.8,0.3333333333333333,25.712153994240605,32.01980988384749,2.0,0.13333333333333333,0.06666666666666667,0.0,18.3343459451897,31.100160463715937,36.677147656504985,6.4,0.4,0.0,20.69183502085294,23.887737976811156,0.0,0.0,0.0,5.539177894592285,4.953200340270996,4.241894245147705,25.112215576171852,0.0,71.16563442614608,7.266666666666667,14.324915885925293,4.366554260253906,0.0,4.302984714508057,12.716795921325684
2,43.3,-8.6,A Coruña,3.0,14.0,14.702743902439025,12.964939024390246,15,5390,1.4666666666666666,0.13333333333333333,0.0,0.0,0.0,26.25090980529785,29.474903106689453,30.327789306640625,20.605690002441406,0.13333333333333333,6.266666666666667,18.051076889038086,1.5333333333333334,6.0,0.4,27.091701328629746,33.429853791473555,3.8,0.6666666666666666,0.2,0.0,18.911007960616235,32.256526309815555,38.361241274907194,10.0,0.8,0.0,21.045605583612947,24.652471679290972,0.13333333333333333,0.0,0.0,4.780333042144775,4.284882068634033,3.43847918510437,26.250909423828123,0.0,68.15736174835523,4.333333333333333,13.764387130737305,5.293312072753906,0.06666666666666667,2.398719549179077,14.412148475646973
3,43.3,-8.5,A Coruña,3.4,14.5,12.538109756097562,17.370426829268293,15,5390,1.8666666666666667,0.4666666666666667,0.0,0.0,0.0,26.873001098632812,30.169986724853516,30.825836181640625,20.884166717529297,0.2,6.733333333333333,18.100627899169922,1.3333333333333333,5.333333333333333,0.3333333333333333,27.81671128848941,34.42933202910542,4.666666666666667,1.1333333333333333,0.2,0.0,19.26674776954292,33.0090004479026,39.46502096956558,12.866666666666667,1.4,0.0,21.33425976290925,24.715812506439516,0.26666666666666666,0.0,0.0,4.621591091156006,4.146633625030518,3.229074478149414,27.51144698125107,0.13333333333333333,67.17282403392728,4.666666666666667,13.793570518493652,5.434041500091553,0.06666666666666667,2.6168103218078613,14.779401779174805
4,43.0,-9.2,A Coruña,6.1,14.6,17.652439024390247,9.984756097560977,15,5390,0.26666666666666666,0.0,0.0,0.0,0.0,25.15845489501953,27.42919921875,29.285308837890625,20.144865036010742,0.3333333333333333,8.733333333333333,18.428102493286133,1.6666666666666667,6.133333333333334,0.26666666666666666,25.357198277420828,30.685129551917328,1.4666666666666666,0.13333333333333333,0.0,0.0,18.223995007022108,30.598643142398146,36.05271962043312,4.933333333333334,0.26666666666666666,0.0,20.25678830614779,23.248249365573958,0.0,0.0,0.0,5.653172969818115,5.181949615478516,5.051970481872559,25.158455810546872,0.0,71.19579452286409,5.933333333333334,14.267152786254883,4.085411548614502,0.0,5.012042045593262,12.509618759155273
5,42.2,-6.9,Ourense,148.6,15.3,24.55030487804878,1.3414634146341462,15,5390,6.266666666666667,1.2666666666666666,0.06666666666666667,0.0,0.0,28.866168975830078,30.62192153930664,32.252838134765625,21.468454360961914,0.0,1.0,16.119667053222656,1.7333333333333334,6.8,0.4,26.50219241559094,30.85694244273776,2.1333333333333333,0.13333333333333333,0.0,0.0,19.162442048632816,29.116967514274744,32.252838134765625,1.6,0.0,0.0,17.208166784127393,20.194140478210915,0.0,0.0,0.0,1.730876088142395,1.6565190553665161,1.61251962184906,27.70260277421641,0.0,44.58869492775387,0.0,8.892722129821777,8.569007873535156,77.2,-5.606846809387207,23.803314208984375
6,43.1,-9.2,A Coruña,0.8,15.8,19.146341463414632,10.739329268292684,15,5390,0.2,0.0,0.0,0.0,0.0,24.93824577331543,27.28252410888672,28.159576416015625,19.984848022460938,0.26666666666666666,8.466666666666667,18.301223754882812,1.7333333333333334,6.4,0.2,25.355441282784632,31.420657280022084,1.8,0.2,0.0,0.0,18.00118430038289,30.684126135640515,36.29673024894355,5.2,0.4,0.0,20.43950230852741,23.92261561002498,0.0,0.0,0.0,5.805858612060547,5.300512790679932,4.623135089874268,24.938245849609373,0.0,72.0022749830483,6.2,14.245430946350098,4.076836109161377,0.0,5.017693996429443,12.309207916259766
7,43.6,-8.1,A Coruña,5.5,15.9,15.663109756097562,16.15853658536585,15,5390,0.8,0.2,0.0,0.0,0.0,26.14240264892578,29.23785972595215,30.535064697265625,20.595775604248047,0.8666666666666667,15.6,18.751697540283203,1.3333333333333333,5.2,0.3333333333333333,26.829114303783392,34.24427210121076,3.466666666666667,0.8666666666666667,0.2,0.0,18.87806863371686,32.48181207216805,40.175061263922316,10.666666666666666,1.2,0.06666666666666667,21.25504700947061,25.00657036359736,0.13333333333333333,0.0,0.0,5.0318989753723145,4.548589706420898,3.604182720184326,26.142403564453108,0.06666666666666667,69.040954473247,10.933333333333334,14.077634811401367,4.511253356933594,0.0,4.399903774261475,13.80075454711914
7,43.5,-7.5,Lugo,19.9,15.9,16.58536585365854,14.961890243902438,15,5390,2.8,0.7333333333333333,0.26666666666666666,0.0,0.0,27.532072067260742,31.284515380859375,32.490142822265625,20.800748825073242,0.0,0.8666666666666667,16.989639282226562,1.5333333333333334,5.933333333333334,0.4,28.750975597235954,35.19250531884054,6.733333333333333,2.0,0.6,0.13333333333333333,19.676977088397052,33.002258526762695,38.80188425997793,11.2,1.2,0.0,21.071948528183515,23.963225191440284,0.0,0.0,0.0,3.041490316390991,2.7212958335876465,1.495104193687439,27.96426104063376,0.3333333333333333,62.917003265019225,0.4,11.978899955749512,6.611431121826172,3.6666666666666665,-0.030738525092601776,17.5396728515625
9,43.6,-8.2,A Coruña,0.8,16.1,17.759146341463413,13.50609756097561,15,5390,0.6,0.06666666666666667,0.0,0.0,0.0,25.82367515563965,28.416229248046875,30.231842041015625,20.549650192260742,0.9333333333333333,19.4,18.978601455688477,1.4666666666666666,5.733333333333333,0.3333333333333333,26.368469272429728,33.250797300658675,3.0,0.4666666666666667,0.06666666666666667,0.0,18.769982920110667,32.215106873554134,39.34860368651362,9.933333333333334,0.7333333333333333,0.0,21.194860053359058,24.72561586857841,0.06666666666666667,0.0,0.0,5.419654369354248,4.859387397766113,4.295822620391846,25.82367553710937,0.0,69.96614059094227,12.666666666666666,14.361268997192383,4.281166076660156,0.0,4.893060207366943,13.300973892211914
10,42.2,-7.4,Ourense,107.5,16.2,24.908536585365855,3.071646341463415,15,5390,8.0,2.8666666666666667,0.26666666666666666,0.0,0.0,29.605762481689453,31.67970085144043,33.215728759765625,22.05072593688965,0.0,0.26666666666666666,15.830329895019531,1.7333333333333334,6.533333333333333,0.3333333333333333,27.790182274461273,32.95048147891453,7.0,0.3333333333333333,0.06666666666666667,0.0,20.028366911443282,30.67275837572645,34.400900848118376,5.733333333333333,0.0,0.0,18.533715753553665,20.421231732753675,0.0,0.0,0.0,1.9545602798461914,1.833116888999939,1.721325159072876,28.664841260770768,0.06666666666666667,47.056397498418654,0.0,9.637833595275879,9.137591361999512,66.86666666666666,-4.829532623291016,23.80341339111328
