n_dias,d_tx30,d_tx32,d_tx35,tx_p99,tx_max,tx_verano,noches_trop,tmean,d_helada,hx_p99,d_hx35,estacion,anio,id,concello,provincia,lat,lon,alt
365,2.0,0.0,0.0,27.770400000000002,31.04,19.656086956521737,0.0,11.223342465753426,7.0,38.23215883499883,10.0,10046,2021,10046,MONFERO,A Coruña,43.343082,-7.8944,651.0
365,8.0,4.0,0.0,32.15960000000002,34.81,22.14532608695652,4.0,12.28058904109589,1.0,41.777934496847635,24.0,10046,2022,10046,MONFERO,A Coruña,43.343082,-7.8944,651.0
365,4.0,1.0,1.0,29.944000000000003,35.74,21.565217391304344,0.0,12.431794520547944,7.0,41.75465107590786,15.0,10046,2023,10046,MONFERO,A Coruña,43.343082,-7.8944,651.0
366,2.0,0.0,0.0,28.48600000000001,30.62,20.926086956521736,0.0,11.956092896174864,4.0,40.372762094120496,13.0,10046,2024,10046,MONFERO,A Coruña,43.343082,-7.8944,651.0
365,9.0,3.0,1.0,30.5216,35.04,22.649565217391302,1.0,12.201383561643834,2.0,42.96892517827062,26.0,10046,2025,10046,MONFERO,A Coruña,43.343082,-7.8944,651.0
365,1.0,0.0,0.0,26.996000000000006,31.1,21.40054347826087,0.0,13.720794520547946,2.0,35.343422699504295,4.0,10047,2010,10047,RIBADEO,Lugo,43.540714,-7.083024,51.0
365,2.0,0.0,0.0,28.509600000000013,30.18,21.16228260869565,0.0,14.634287671232876,0.0,37.176292385261746,8.0,10047,2011,10047,RIBADEO,Lugo,43.540714,-7.083024,51.0
366,2.0,0.0,0.0,28.04700000000002,30.72,22.29076086956522,2.0,14.041625683060111,1.0,37.840377587297645,9.0,10047,2012,10047,RIBADEO,Lugo,43.540714,-7.083024,51.0
365,0.0,0.0,0.0,25.967200000000002,28.11,20.736086956521735,0.0,14.02669863013699,0.0,35.35725395788091,5.0,10047,2013,10047,RIBADEO,Lugo,43.540714,-7.083024,51.0
365,2.0,0.0,0.0,27.821200000000005,30.23,22.055217391304346,0.0,14.80282191780822,1.0,37.94885853754163,12.0,10047,2014,10047,RIBADEO,Lugo,43.540714,-7.083024,51.0
365,2.0,0.0,0.0,29.29040000000001,30.58,22.259239130434786,0.0,14.72717808219178,0.0,39.57711420725477,12.0,10047,2015,10047,RIBADEO,Lugo,43.540714,-7.083024,51.0
366,0.0,0.0,0.0,24.867500000000007,26.64,21.430869565217392,0.0,14.21146174863388,0.0,34.43822168282711,3.0,10047,2016,10047,RIBADEO,Lugo,43.540714,-7.083024,51.0
365,2.0,1.0,1.0,28.023200000000006,35.44,21.6575,1.0,14.443520547945207,1.0,36.667930879773365,6.0,10047,2017,10047,RIBADEO,Lugo,43.540714,-7.083024,51.0
365,0.0,0.0,0.0,26.404000000000003,29.5,21.37336956521739,0.0,14.177369863013698,1.0,35.5137498086582,5.0,10047,2018,10047,RIBADEO,Lugo,43.540714,-7.083024,51.0
365,2.0,0.0,0.0,27.6136,31.72,21.484021739130434,1.0,14.285547945205481,0.0,39.66631221868027,8.0,10047,2019,10047,RIBADEO,Lugo,43.540714,-7.083024,51.0
366,1.0,0.0,0.0,27.39750000000003,30.28,21.67130434782609,1.0,14.982937158469946,0.0,38.40297326340789,7.0,10047,2020,10047,RIBADEO,Lugo,43.540714,-7.083024,51.0
365,2.0,1.0,0.0,27.126,32.49,20.82826086956522,0.0,14.319123287671234,1.0,36.62446154602131,7.0,10047,2021,10047,RIBADEO,Lugo,43.540714,-7.083024,51.0
365,0.0,0.0,0.0,26.416000000000004,27.96,21.771086956521742,0.0,15.085931506849315,0.0,37.12158753953946,13.0,10047,2022,10047,RIBADEO,Lugo,43.540714,-7.083024,51.0
365,3.0,1.0,0.0,29.1996,32.59,23.16771739130435,5.0,15.572013698630137,0.0,42.11336926095583,26.0,10047,2023,10047,RIBADEO,Lugo,43.540714,-7.083024,51.0
366,0.0,0.0,0.0,26.37550000000001,27.38,21.51326086956522,1.0,15.05035519125683,0.0,38.25088050044005,11.0,10047,2024,10047,RIBADEO,Lugo,43.540714,-7.083024,51.0
365,0.0,0.0,0.0,26.397600000000004,27.74,22.3529347826087,1.0,15.195712328767122,0.0,35.32009414414454,5.0,10047,2025,10047,RIBADEO,Lugo,43.540714,-7.083024,51.0
365,28.0,12.0,0.0,33.348800000000004,34.71,26.63173913043478,0.0,10.108068493150686,79.0,41.69390395750808,42.0,10048,2010,10048,VILARIÑO DE CONSO,Ourense,42.11956,-7.344628,1026.0
365,14.0,6.0,0.0,32.588,33.85,24.630108695652172,0.0,11.157986301369863,58.0,39.146350784058335,24.0,10048,2011,10048,VILARIÑO DE CONSO,Ourense,42.11956,-7.344628,1026.0
366,18.0,7.0,0.0,32.94550000000001,34.04,23.865760869565214,0.0,10.067595628415301,85.0,39.774922283439615,19.0,10048,2012,10048,VILARIÑO DE CONSO,Ourense,42.11956,-7.344628,1026.0
365,32.0,15.0,3.0,34.2312,36.27,26.64260869565218,0.0,10.05717808219178,94.0,43.33491580062197,51.0,10048,2013,10048,VILARIÑO DE CONSO,Ourense,42.11956,-7.344628,1026.0
365,7.0,3.0,0.0,31.50920000000001,33.93,23.829782608695655,0.0,10.18372602739726,66.0,41.473170009500784,22.0,10048,2014,10048,VILARIÑO DE CONSO,Ourense,42.11956,-7.344628,1026.0
365,24.0,8.0,1.0,34.3256,35.17,26.919239130434786,0.0,11.04258904109589,63.0,41.507293654872676,49.0,10048,2015,10048,VILARIÑO DE CONSO,Ourense,42.11956,-7.344628,1026.0
366,41.0,24.0,5.0,35.052,36.16,27.64260869565217,0.0,10.71247267759563,75.0,44.08427031772705,61.0,10048,2016,10048,VILARIÑO DE CONSO,Ourense,42.11956,-7.344628,1026.0
365,28.0,15.0,3.0,34.304800000000014,35.96,27.188913043478262,0.0,11.65658904109589,73.0,43.43963866834709,53.0,10048,2017,10048,VILARIÑO DE CONSO,Ourense,42.11956,-7.344628,1026.0
365,22.0,8.0,4.0,34.34440000000002,37.5,25.511195652173914,0.0,10.443520547945207,84.0,42.6375489420083,53.0,10048,2018,10048,VILARIÑO DE CONSO,Ourense,42.11956,-7.344628,1026.0
